county,precinct,office,district,party,candidate,votes,in-person_absentee,failsafe_provisional,provisional,failsafe,absentee_by_mail,election_day
Marion,MARION NO. 2,President,,REP,Donald J Trump | Michael R Pence,503,196,0,0,0,45,262
Marion,MARION NORTH,President,,REP,Donald J Trump | Michael R Pence,505,222,0,0,0,34,249
Marion,MARION SOUTH,President,,REP,Donald J Trump | Michael R Pence,464,276,0,0,0,43,145
Marion,MARION WEST,President,,REP,Donald J Trump | Michael R Pence,474,172,0,0,0,19,283
Marion,SELLERS,President,,REP,Donald J Trump | Michael R Pence,47,14,0,0,0,4,29
Marion,TEMPERANCE,President,,REP,Donald J Trump | Michael R Pence,232,67,0,0,0,12,153
Marion,ZION,President,,REP,Donald J Trump | Michael R Pence,164,62,0,0,0,11,91
Marion,N WEST MULLINS,President,,REP,Donald J Trump | Michael R Pence,278,138,0,0,0,22,118
Marion,S WEST MULLINS,President,,REP,Donald J Trump | Michael R Pence,451,201,0,0,0,48,202
Marion,N EAST MULLINS,President,,REP,Donald J Trump | Michael R Pence,495,202,0,0,0,45,248
Marion,S EAST MULLINS,President,,REP,Donald J Trump | Michael R Pence,669,283,0,0,0,85,301
Marion,NICHOLS,President,,REP,Donald J Trump | Michael R Pence,301,74,0,0,0,12,215
Marion,Failsafe,President,,REP,Donald J Trump | Michael R Pence,0,0,0,0,0,0,0
Marion,Provisional,President,,REP,Donald J Trump | Michael R Pence,15,0,0,15,0,0,0
Marion,Failsafe Provisional,President,,REP,Donald J Trump | Michael R Pence,2,0,2,0,0,0,0
Marion,BRITTON'S NECK,President,,ALN,ALN Roque Rocky De La Fuente | Darcy G Richardson,2,1,0,0,0,0,1
Marion,FRIENDSHIP,President,,ALN,ALN Roque Rocky De La Fuente | Darcy G Richardson,0,0,0,0,0,0,0
Marion,CENTENARY,President,,ALN,ALN Roque Rocky De La Fuente | Darcy G Richardson,2,0,0,0,0,0,2
Marion,RAINS,President,,ALN,ALN Roque Rocky De La Fuente | Darcy G Richardson,1,0,0,0,0,0,1
Marion,MARION NO. 1,President,,ALN,ALN Roque Rocky De La Fuente | Darcy G Richardson,0,0,0,0,0,0,0
Marion,MARION NO. 2,President,,ALN,ALN Roque Rocky De La Fuente | Darcy G Richardson,0,0,0,0,0,0,0
Marion,MARION NORTH,President,,ALN,ALN Roque Rocky De La Fuente | Darcy G Richardson,0,0,0,0,0,0,0
Marion,MARION SOUTH,President,,ALN,ALN Roque Rocky De La Fuente | Darcy G Richardson,4,2,0,0,0,0,2
Marion,MARION WEST,President,,ALN,ALN Roque Rocky De La Fuente | Darcy G Richardson,2,0,0,0,0,0,2
Marion,SELLERS,President,,ALN,ALN Roque Rocky De La Fuente | Darcy G Richardson,0,0,0,0,0,0,0
Marion,TEMPERANCE,President,,ALN,ALN Roque Rocky De La Fuente | Darcy G Richardson,1,0,0,0,0,1,0
Marion,ZION,President,,ALN,ALN Roque Rocky De La Fuente | Darcy G Richardson,1,1,0,0,0,0,0
Marion,N WEST MULLINS,President,,ALN,ALN Roque Rocky De La Fuente | Darcy G Richardson,2,1,0,0,0,0,1
Marion,S WEST MULLINS,President,,ALN,ALN Roque Rocky De La Fuente | Darcy G Richardson,0,0,0,0,0,0,0
Marion,N EAST MULLINS,President,,ALN,ALN Roque Rocky De La Fuente | Darcy G Richardson,2,1,0,0,0,0,1
Marion,S EAST MULLINS,President,,ALN,ALN Roque Rocky De La Fuente | Darcy G Richardson,1,1,0,0,0,0,0
Marion,NICHOLS,President,,ALN,ALN Roque Rocky De La Fuente | Darcy G Richardson,0,0,0,0,0,0,0
Marion,Failsafe,President,,ALN,ALN Roque Rocky De La Fuente | Darcy G Richardson,0,0,0,0,0,0,0
Marion,Provisional,President,,ALN,ALN Roque Rocky De La Fuente | Darcy G Richardson,0,0,0,0,0,0,0
Marion,Failsafe Provisional,President,,ALN,ALN Roque Rocky De La Fuente | Darcy G Richardson,0,0,0,0,0,0,0
Marion,BRITTON'S NECK,President,,LIB,Jo Jorgensen | Jeremy Spike Cohen,7,2,0,0,0,0,5
Marion,FRIENDSHIP,President,,LIB,Jo Jorgensen | Jeremy Spike Cohen,2,0,0,0,0,1,1
Marion,CENTENARY,President,,LIB,Jo Jorgensen | Jeremy Spike Cohen,3,1,0,0,0,0,2
Marion,RAINS,President,,LIB,Jo Jorgensen | Jeremy Spike Cohen,2,0,0,0,0,0,2
